Unnamed: 0,sample,Observed,Chao1,Shannon,Simpson,simpson_e,PD_whole_tree,Fisher,ACE,pH,Mositure,TC,TN,C.N,Nitrate,Ammonium,OM,Sand,Clay,Silt,Population.Density,Large.Park,Small.Park,Two.Way.Street,One.Way.Street,Residential.Area,Density2,longitude,latitude,Population Density,Relative Deprivation,Tropospheric Nitrogen Dioxide Emissions,Fossil Fuel CO2 emissions,Rurality,Koppen Geiger
1,1,3449.75,5747.29503,7.39792556,0.998404865,0.183911446,123.0724975,1715.956901,6217.555663,6.88,0.26009556500000003,7.13,0.58,12.29310345,39.17,10.05,11.09,38,20,42,787.5299587,1,0,0,0,0,1,-87.53,41.72,0.0,13,0.0001019626,183.2481536865,urban centre,"Cold, no dry season, hot summer"
2,2,3165.8,4894.228195,7.256822095,0.9980733960000001,0.17649677600000002,119.841506,1464.345933,5216.870494,7.22,0.287210246,6.34,0.47000000000000003,13.4893617,11.26,7.09,10.15,62,12,26,1070.821428,1,0,0,0,0,1,-87.61,41.79,1520.5303955078,20,0.00010145960000000001,566.4279174805,urban centre,"Cold, no dry season, hot summer"
3,3,3973.5,6471.709209,7.407392097,0.998192893,0.140974125,132.5143275,1862.230843,7144.218237,6.96,0.234167227,7.36,0.59,12.47457627,25.17,9.05,11.91,42,24,34,3124.879551,1,0,0,0,0,1,-87.62,41.88,4163.2426757812,16,0.0001242656,0.0,urban centre,"Cold, no dry season, hot summer"
4,4,3522.2,5707.063085,7.216821283,0.997341251,0.12318345400000001,120.411036,1617.866733,6280.494255,6.98,0.253618989,6.43,0.52,12.36538462,28.33,8.14,10.63,18,32,50,2146.50417,1,0,0,0,0,1,-87.7,41.77,5059.65625,26,0.0001009078,559.81640625,urban centre,"Cold, no dry season, hot summer"
5,5,3633.2,5645.269142,7.18258988,0.99506992,0.11467457800000001,124.740914,1672.015126,6098.642417,6.8100000000000005,0.257955402,6.19,0.46,13.45652174,19.37,5.64,8.26,60,14,26,2295.676492,1,0,0,0,0,1,-87.58,41.78,180.3402252197,23,0.00010302030000000001,271.9969177246,urban centre,"Cold, no dry season, hot summer"
6,6,3571.6,5673.307802,7.197872248,0.99743716,0.11100821400000001,123.510084,1549.667654,6256.730952,6.94,0.276611983,7.9,0.68,11.61764706,30.97,8.67,13.23,22,34,44,3263.293909,1,0,0,0,0,1,-87.71,41.88,3432.880859375,25,0.0001247005,684.4439086914,urban centre,"Cold, no dry season, hot summer"
7,7,4389.0,6810.682442,7.5047199760000005,0.998306223,0.14417723600000001,138.222565,1957.55793,7356.199454,7.17,0.362019085,8.27,0.68,12.16176471,37.9,8.18,11.5,34,20,46,3483.34853,1,0,0,0,0,2,-87.66,41.77,4821.72265625,22,9.77759e-05,598.7625732422,urban centre,"Cold, no dry season, hot summer"
8,8,3664.4,5941.087898,7.38196097,0.997843322,0.148082567,127.40448,1836.169416,6460.314122,7.25,0.255615513,7.21,0.54,13.35185185,28.77,6.21,9.54,36,16,48,3964.689738,1,0,0,0,0,2,-87.58,41.79,4020.6633300781,0,0.0001076996,0.0,urban centre,"Cold, no dry season, hot summer"
9,9,3876.4,6442.621277,7.431703394,0.99822809,0.150237744,138.51802,1918.82177,6964.9431,7.24,0.1735352,4.97,0.24,20.70833333,15.18,4.13,4.36,74,10,16,3390.687629,1,0,0,0,0,2,-87.64,41.96,0.0,0,0.0001141636,182.0194091797,water,"Cold, no dry season, hot summer"
10,10,3928.2,6221.506403,7.387057246,0.9979194760000001,0.12663226700000002,133.629574,1859.732807,6830.631323,7.06,0.173631954,5.4,0.49,11.02040816,26.72,8.35,8.4,54,20,26,9021.130317,1,0,0,0,0,3,-87.75,41.92,4930.1440429688,26,0.00011574690000000001,586.5223999023,urban centre,"Cold, no dry season, hot summer"
11,11,3667.0,6047.667901,7.319562511,0.9979514960000001,0.138904898,129.4868025,1736.98601,6668.134181,6.92,0.30413560100000003,7.3,0.68,10.73529412,35.33,11.16,12.62,26,30,44,5430.03211,1,0,0,0,0,2,-87.76,41.95,8912.3642578125,26,0.0001122205,604.3263549805,urban centre,"Cold, no dry season, hot summer"
12,12,3859.25,6094.243372,7.504793323,0.9984928890000001,0.17856722300000002,135.69472,1901.200697,6634.79168,7.12,0.379118294,9.94,0.59,16.84745763,24.04,8.4,13.54,50,16,34,5620.76186,1,0,0,0,0,2,-87.64,41.93,12940.5341796875,21,0.0001184192,301.308013916,urban centre,"Cold, no dry season, hot summer"
13,13,3758.2,5923.028368,7.520919886,0.998503172,0.20619888900000002,132.881836,1916.353118,6526.42331,7.18,0.293789111,13.03,0.96,13.57291667,26.45,12.72,18.32,44,20,36,6963.736106,1,0,0,0,0,3,-87.62,41.87,3373.205078125,3,0.0001237,0.0,urban centre,"Cold, no dry season, hot summer"
14,14,4378.2,6902.438169,7.408723763,0.997718112,0.10989185700000001,138.54274,1926.935893,7514.134453,6.86,0.30077125200000004,8.54,0.87,9.816091954000001,42.15,10.1,15.46,28,26,46,11427.16915,1,0,0,0,0,4,-87.7,41.96,4990.5791015625,20,0.00011176110000000001,598.7625732422,urban centre,"Cold, no dry season, hot summer"
15,15,4329.6,6954.918204,7.5683724770000005,0.9984242680000001,0.158214911,144.536336,2123.493948,7504.248646,7.07,0.188714653,4.68,0.36,13.0,17.2,4.27,7.25,74,8,18,8058.587,1,0,0,0,0,3,-87.69,42.0,10477.38671875,24,0.00011107240000000001,436.397857666,urban centre,"Cold, no dry season, hot summer"
16,16,3578.25,5868.120308,7.304256949,0.997933174,0.136481468,131.17341,1681.606973,6410.151173,7.16,0.17866837500000002,5.29,0.4,13.225,12.69,5.97,8.57,54,26,20,9060.833186,1,0,0,0,0,3,-87.68,41.92,8526.921875,6,0.00012035700000000001,657.7380371094,urban centre,"Cold, no dry season, hot summer"
17,17,3817.2,6256.923252,7.297270636,0.997623706,0.118390348,129.816942,1802.820235,6835.982945,7.31,0.215915712,6.64,0.44,15.09090909,26.32,6.98,9.09,32,30,38,8950.90431,1,0,0,0,0,3,-87.74,41.92,4930.1440429688,20,0.0001184462,622.1301879883,urban centre,"Cold, no dry season, hot summer"
18,18,3683.0,6034.883457,7.39334334,0.9981367800000001,0.150766027,131.51904,1837.31904,6657.893556,7.04,0.19156613900000002,5.89,0.43,13.69767442,19.45,6.46,9.74,50,24,26,9274.953016,1,0,0,0,0,3,-87.66,42.01,14251.1025390625,14,0.00010902600000000001,0.0,urban centre,"Cold, no dry season, hot summer"
19,19,3760.4,6088.479928,7.332108743,0.9977174740000001,0.12622225,130.937982,1790.015727,6649.657065,7.14,0.254878365,9.05,0.74,12.22972973,38.35,9.35,12.12,34,22,44,11231.99953,1,0,0,0,0,4,-87.69,41.82,9900.416015625,29,0.0001183062,614.341003418,urban centre,"Cold, no dry season, hot summer"
20,20,3823.6,6367.074311,7.364605881,0.99750544,0.112000155,134.616184,1898.019,7000.091225,7.11,0.198839433,7.39,0.46,16.06521739,28.01,7.01,9.78,44,20,36,10417.4032,1,0,0,0,0,4,-87.65,41.85,6031.6625976562,30,0.0001227162,629.9193725586,urban centre,"Cold, no dry season, hot summer"
21,21,4007.4,6375.083431,7.521931896,0.9985284350000001,0.173533442,135.687222,1960.88764,6951.401031,6.8,0.236929296,12.42,1.2,10.35,45.48,15.63,21.48,36,24,40,10572.49261,1,0,0,0,0,4,-87.67,41.86,6803.8969726562,29,0.0001269403,848.0176391602,urban centre,"Cold, no dry season, hot summer"
22,22,3007.6,4788.822268,7.041397438,0.997177933,0.146642196,116.57356,1318.599993,5132.855425,7.03,0.28839754700000003,8.35,0.62,13.46774194,15.99,13.76,11.39,40,24,36,11929.83646,1,0,0,0,0,4,-87.62,41.88,4163.2426757812,16,0.0001242656,0.0,urban centre,"Cold, no dry season, hot summer"
23,23,3930.6,6322.378935,7.381502259,0.998004242,0.133295232,131.513056,1843.456277,6884.047528,7.03,0.23297783900000002,8.82,0.74,11.91891892,39.03,10.77,13.87,28,30,42,11935.4275,1,0,0,0,0,4,-87.72,41.92,10326.1953125,23,0.00011947800000000001,613.2282714844,urban centre,"Cold, no dry season, hot summer"
24,24,3691.2,5941.185072,7.255316475,0.996622281,0.12451756200000001,131.079288,1728.361468,6557.894748,6.91,0.246624061,6.54,0.51,12.82352941,34.51,7.09,10.71,48,22,30,12958.04937,1,0,0,0,0,4,-87.7,41.97,9115.4169921875,22,0.00011100920000000001,548.8057250977,urban centre,"Cold, no dry season, hot summer"
25,25,4115.0,6690.849613,7.513712515,0.998414401,0.15724315,138.31761,2037.930635,7352.137039,7.18,0.19944051000000002,7.53,0.59,12.76271186,25.74,7.45,10.27,38,24,38,14166.4653,1,0,0,0,0,5,-87.63,41.87,10771.1044921875,6,0.0001220258,523.4553833008,urban centre,"Cold, no dry season, hot summer"
26,26,4545.2,7397.139819,7.522702285,0.9981479600000001,0.119770441,147.774234,2143.370583,8097.799885,7.14,0.24227313400000003,5.91,0.46,12.84782609,26.13,6.29,9.97,40,24,36,13546.17451,1,0,0,0,0,5,-87.64,41.95,270.7977294922,20,0.0001137096,0.0,urban centre,"Cold, no dry season, hot summer"
27,27,3822.6,6407.790421,7.501158937,0.9983458380000001,0.160330995,135.272494,2012.157863,7023.11054,7.17,0.18673455900000002,6.73,0.52,12.94230769,16.42,10.99,12.09,24,26,50,14050.72738,1,0,0,0,0,5,-87.72,41.97,10846.6962890625,27,0.0001097373,538.9591674805,urban centre,"Cold, no dry season, hot summer"
28,28,3992.4,6775.973501,7.508949171,0.998567516,0.183402693,137.397564,2026.366807,7462.99604,7.17,0.19629274,7.33,0.47000000000000003,15.59574468,18.51,7.03,9.56,40,24,36,24195.07919,1,0,0,0,0,5,-87.62,41.9,10280.9833984375,0,0.0001236745,0.0,urban centre,"Cold, no dry season, hot summer"
