Sample,Postcode,Address,Latitude,Longitude,moll_lat,moll_lon,Rurality
12,,,43.2,-71.7,5143846.831917414,-5902977.612736217,11
13,,,35.1,-106.5,4234682.321429716,-9424321.69637107,30
14,,,32.1,-81.1,3888663.045691798,-7333935.290886377,11
15,,,47.4,-122.1,5598540.764237718,-9594770.66289083,12
16,,,42.9,-74.7,5110899.726537222,-6168858.353149482,11
17,,,38,-107.7,4564645.650180879,-9309826.19737998,11
18,,,43.1,-93.2,5132871.142571277,-7680925.541019496,11
19,,,39.3,-75.6,4711007.064735232,-6461324.315939048,23
20,,,37.8,-122.3,4542040.864253972,-10589845.433414381,30
21,,,39.4,-76.6,4722224.088198904,-6540934.957326353,30
22,,,39,-121.1,4677320.035485608,-10377709.246613692,12
23,,,46.6,-87.4,5512909.179936818,-6933018.941982128,11
24,,,35.1,-106.5,4234682.321429716,-9424321.69637107,30
25,,,33.8,-84.4,4085299.0747620966,-7541482.403930158,30
26,,,39.1,-108.7,4688555.02095648,-9306843.950628413,12
27,,,32.7,-117.1,3958226.452234754,-10545720.78927272,30
28,,,47.5,-122,5609211.139933313,-9575444.636962114,11
29,,,30.4,-89.3,3690640.1686725584,-8166443.292739775,11
30,,,41.8,-73.2,4989585.492155518,-6111662.884076891,11
31,,,43.1,-89.4,5132871.142571277,-7367754.757158187,10
32,,,41.6,-91.5,4967443.824256047,-7654478.204383886,11
33,,,44,-121.3,5231409.460379818,-9903518.27215952,21
34,,,42.3,-71.1,5044826.500767855,-5907118.424773402,30
35,,,61.5,-149.6,7018867.627305252,-9417154.254830372,11
36,,,43.9,-116.8,5220487.918857972,-9546191.610397603,11
37,,,42.3,-72.5,5044826.500767855,-6023432.992912401,11
38,,,39.6,-105,4744640.050997059,-8949911.61413933,30
39,,,39.1,-84.4,4688555.02095648,-7226289.139218382,12
40,,,39.3,-77.9,4711007.064735232,-6657898.997508624,11
41,,,42.8,-73.7,5099904.036616813,-6092458.598193302,12
42,,,35.6,-97.5,4291901.349772842,-8594653.930854173,12
43,,,38.4,-88.4,4609785.726655623,-7615303.795077473,11
44,,,44.2,-69.5,5253231.968253014,-5662280.520901752,11
45,,,43.6,-70.2,5187682.367855,-5755597.475819309,10
46,,,40.4,-74.1,4834060.209486077,-6269948.225512216,30
47,,,41.5,-81.8,4956363.362991374,-6849653.767906801,30
48,,,21.3,-157.8,2610296.658087993,-15138448.401339697,30
49,,,55.7,-132.5,6456654.442485223,-9272999.03320857,11
50,,,39.5,-79.8,4733435.0894455165,-6808067.524143972,12
51,,,42.2,-71.1,5033791.304144005,-5912990.799287176,11
52,,,32.2,-111,3900269.037317044,-10030963.527562322,23
53,,,40.7,-74.1,4867490.986514479,-6252391.093275291,30
54,,,40.7,-74,4867490.986514479,-6243953.318520533,30
55,,,41,-73.9,4900865.502225984,-6217865.204218712,30
56,,,39,-77.1,4677320.035485608,-6607112.988554216,30
57,,,40.7,-74,4867490.986514479,-6243953.318520533,30
58,,,42.4,-72.5,5055855.158535961,-6017429.462114196,12
59,,,32.7,-83.7,3958226.452234754,-7537803.843399888,12
60,,,62.1,-146.4,7075030.006253756,-9101372.781490015,11
61,,,40.8,-74,4878622.100046948,-6238077.569642651,30
62,,,40.7,-73.9,4867490.986514479,-6235515.543765777,30
63,,,39.3,-78.8,4711007.064735232,-6734819.525079325,12
65,,,40.7,-74,4867490.986514479,-6243953.318520533,30
66,,,43.7,-70.3,5198624.35397517,-5757778.070410815,21
67,,,40.7,-73.9,4867490.986514479,-6235515.543765777,30
68,,,40.7,-74,4867490.986514479,-6243953.318520533,30
70,,,39.4,-119.6,4722224.088198904,-10212739.176191013,11
71,,,35.2,-106.6,4246136.773848659,-9425944.45450964,12
72,,,43.6,-116.2,5187682.367855,-9527071.605273556,30
73,,,41.9,-71.4,5000646.662737804,-5955539.972092151,30
74,,,46.2,-91.1,5469916.3826618055,-7259918.446304998,11
75,,,40.3,-120.5,4822904.1974516725,-10205535.822242405,11
76,,,31.5,-89.4,3818926.89358234,-8117245.0760626355,11
77,,,38.9,-77,4666079.097486394,-6604366.283218202,30
78,,,64.1,-141.8,7259317.251879168,-8435268.452231228,11
79,,,35.5,-78.1,4280468.224191657,-6889896.253606453,11
81,,,35.1,-106.6,4234682.321429716,-9433170.82472447,30
82,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
83,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
84,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
85,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
86,,,35.8,-78.8,4314751.463942467,-6935382.884391915,30
88,,,33.4,-80.7,4039160.7572465204,-7231739.995286237,11
89,,,35.7,-78.8,4303329.101929989,-6940821.184974686,21
90,,,29.7,-95.4,3608716.7046406446,-8762708.285420993,30
93,,,42.1,-88,5022749.586837975,-7325718.994879284,30
94,,,40,-75.2,4789399.149897031,-6386559.417457832,30
95,,,40.7,-89.4,4867490.986514479,-7543370.630753186,23
96,,,36,-78.9,4337579.950562795,-6933245.317978021,30
97,,,39,-76.5,4677320.035485608,-6555695.766853406,21
100,,,35.1,-106.7,4234682.321429716,-9442019.95307787,30
101,,,33.8,-84.3,4085299.0747620966,-7532546.998238297,30
102,,,42.3,-71.1,5044826.500767855,-5907118.424773402,30
105,,,41.7,-83.6,4978517.873315134,-6986802.072203456,30
106,,,34.7,-86.7,4188811.7770359707,-7695527.243883815,11
107,,,42.3,-83.1,5044826.500767855,-6904100.437393387,30
109,,,40.8,-74,4878622.100046948,-6238077.569642651,30
110,,,38.1,-122.3,4575939.381994569,-10562862.990451403,11
111,,,39.1,-94.4,4688555.02095648,-8082484.534860369,30
112,,,42.3,-71.2,5044826.500767855,-5915426.608211903,30
113,,,47.7,-122.3,5630529.2916253945,-9575915.87838249,30
114,,,39,-77.1,4677320.035485608,-6607112.988554216,30
115,,,42.4,-71.1,5055855.158535961,-5901230.824225093,30
118,,,35.6,-78,4291901.349772842,-6875723.144683337,11
119,,,36.4,-80.3,4383171.504392177,-7033805.509669945,11
121,,,47.6,-122.3,5619873.989038884,-9587467.144594213,30
123,,,37.7,-97.5,4530729.844432588,-8449565.979013728,12
124,,,32.9,-96.8,3981375.261976042,-8705352.53595065,30
125,,,34.1,-84.1,4119849.5791734387,-7498187.568149215,12
127,,,38.9,-77.1,4666079.097486394,-6612943.382287317,30
128,,,39.8,-105.1,4767031.784989593,-8942209.905876141,30
129,,,40.6,-75.4,4856353.621740942,-6368053.138085613,30
131,,,35.7,-78.6,4303329.101929989,-6923204.887550894,21
132,,,37.5,-121.9,4508090.636651801,-10581876.840291088,11
133,,,45.9,-91.8,5437595.370609268,-7340728.171350317,11
134,,,41.7,-87.7,4978517.873315134,-7329456.240816306,30
135,,,43.5,-116.3,5176733.604059025,-9545201.513229182,11
136,,,38.2,-84.6,4587227.316813161,-7300515.233172389,12
137,,,39.6,-105.1,4744640.050997059,-8958435.33948613,30
138,,,37.7,-85.8,4530729.844432588,-7435618.06153208,11
139,,,45.6,-111,5405209.441916061,-8906082.160373822,11
140,,,33,-96.8,3992942.2826557155,-8699221.733407326,30
141,,,48.8,-122.5,5747233.80943055,-9462470.163112633,21
