Sample,Postcode,Address,Latitude,Longitude,moll_lat,moll_lon
0,,,23.3469799352601,3.37594722147123,,
12,,,43.2,-71.7,5143846.831917410,-5902977.612736220
13,,,35.1,-106.5,4234682.321429720,-9424321.69637107
14,,,32.1,-81.1,3888663.045691800,-7333935.290886380
15,,,47.4,-122.1,5598540.764237720,-9594770.66289083
16,,,42.9,-74.7,5110899.726537220,-6168858.353149480
17,,,38,-107.7,4564645.650180880,-9309826.19737998
18,,,43.1,-93.2,5132871.142571280,-7680925.541019500
19,,,39.3,-75.6,4711007.064735230,-6461324.315939050
20,,,37.8,-122.3,4542040.864253970,-10589845.433414400
21,,,39.4,-76.6,4722224.088198900,-6540934.957326350
22,,,39,-121.1,4677320.035485610,-10377709.246613700
23,,,46.6,-87.4,5512909.179936820,-6933018.941982130
24,,,35.1,-106.5,4234682.321429720,-9424321.69637107
25,,,33.8,-84.4,4085299.0747621000,-7541482.403930160
26,,,39.1,-108.7,4688555.02095648,-9306843.950628410
27,,,32.7,-117.1,3958226.452234750,-10545720.78927270
28,,,47.5,-122,5609211.139933310,-9575444.636962110
29,,,30.4,-89.3,3690640.1686725600,-8166443.292739780
30,,,41.8,-73.2,4989585.492155520,-6111662.884076890
31,,,43.1,-89.4,5132871.142571280,-7367754.757158190
32,,,41.6,-91.5,4967443.824256050,-7654478.204383890
33,,,44,-121.3,5231409.460379820,-9903518.27215952
34,,,42.3,-71.1,5044826.500767860,-5907118.424773400
35,,,61.5,-149.6,7018867.627305250,-9417154.254830370
36,,,43.9,-116.8,5220487.918857970,-9546191.610397600
37,,,42.3,-72.5,5044826.500767860,-6023432.992912400
38,,,39.6,-105,4744640.050997060,-8949911.61413933
39,,,39.1,-84.4,4688555.02095648,-7226289.139218380
40,,,39.3,-77.9,4711007.064735230,-6657898.997508620
41,,,42.8,-73.7,5099904.036616810,-6092458.598193300
42,,,35.6,-97.5,4291901.349772840,-8594653.930854170
43,,,38.4,-88.4,4609785.726655620,-7615303.795077470
44,,,44.2,-69.5,5253231.968253010,-5662280.520901750
45,,,43.6,-70.2,5187682.367855,-5755597.475819310
46,,,40.4,-74.1,4834060.209486080,-6269948.225512220
47,,,41.5,-81.8,4956363.362991370,-6849653.767906800
48,,,21.3,-157.8,2610296.658087990,-15138448.401339700
49,,,55.7,-132.5,6456654.442485220,-9272999.03320857
50,,,39.5,-79.8,4733435.0894455200,-6808067.524143970
51,,,42.2,-71.1,5033791.304144010,-5912990.799287180
52,,,32.2,-111,3900269.037317040,-10030963.527562300
53,,,40.7,-74.1,4867490.986514480,-6252391.093275290
54,,,40.7,-74,4867490.986514480,-6243953.318520530
55,,,41,-73.9,4900865.502225980,-6217865.204218710
56,,,39,-77.1,4677320.035485610,-6607112.988554220
57,,,40.7,-74,4867490.986514480,-6243953.318520530
58,,,42.4,-72.5,5055855.158535960,-6017429.462114200
59,,,32.7,-83.7,3958226.452234750,-7537803.843399890
60,,,62.1,-146.4,7075030.006253760,-9101372.781490020
61,,,40.8,-74,4878622.100046950,-6238077.569642650
62,,,40.7,-73.9,4867490.986514480,-6235515.543765780
63,,,39.3,-78.8,4711007.064735230,-6734819.525079330
65,,,40.7,-74,4867490.986514480,-6243953.318520530
66,,,43.7,-70.3,5198624.35397517,-5757778.070410820
67,,,40.7,-73.9,4867490.986514480,-6235515.543765780
68,,,40.7,-74,4867490.986514480,-6243953.318520530
70,,,39.4,-119.6,4722224.088198900,-10212739.176191000
71,,,35.2,-106.6,4246136.773848660,-9425944.45450964
72,,,43.6,-116.2,5187682.367855,-9527071.605273560
73,,,41.9,-71.4,5000646.662737800,-5955539.972092150
74,,,46.2,-91.1,5469916.3826618100,-7259918.446305000
75,,,40.3,-120.5,4822904.1974516700,-10205535.822242400
76,,,31.5,-89.4,3818926.89358234,-8117245.0760626400
77,,,38.9,-77,4666079.097486390,-6604366.283218200
78,,,64.1,-141.8,7259317.251879170,-8435268.452231230
79,,,35.5,-78.1,4280468.224191660,-6889896.253606450
81,,,35.1,-106.6,4234682.321429720,-9433170.82472447
82,,,35.8,-78.7,4314751.463942470,-6926581.637076700
83,,,35.8,-78.7,4314751.463942470,-6926581.637076700
84,,,35.8,-78.7,4314751.463942470,-6926581.637076700
85,,,35.8,-78.7,4314751.463942470,-6926581.637076700
86,,,35.8,-78.8,4314751.463942470,-6935382.884391920
88,,,33.4,-80.7,4039160.7572465200,-7231739.995286240
89,,,35.7,-78.8,4303329.101929990,-6940821.184974690
90,,,29.7,-95.4,3608716.7046406400,-8762708.285420990
93,,,42.1,-88,5022749.586837980,-7325718.994879280
94,,,40,-75.2,4789399.149897030,-6386559.417457830
95,,,40.7,-89.4,4867490.986514480,-7543370.630753190
96,,,36,-78.9,4337579.950562800,-6933245.317978020
97,,,39,-76.5,4677320.035485610,-6555695.766853410
100,,,35.1,-106.7,4234682.321429720,-9442019.95307787
101,,,33.8,-84.3,4085299.0747621000,-7532546.998238300
102,,,42.3,-71.1,5044826.500767860,-5907118.424773400
105,,,41.7,-83.6,4978517.873315130,-6986802.072203460
106,,,34.7,-86.7,4188811.7770359700,-7695527.243883820
107,,,42.3,-83.1,5044826.500767860,-6904100.437393390
109,,,40.8,-74,4878622.100046950,-6238077.569642650
110,,,38.1,-122.3,4575939.381994570,-10562862.990451400
111,,,39.1,-94.4,4688555.02095648,-8082484.534860370
112,,,42.3,-71.2,5044826.500767860,-5915426.608211900
113,,,47.7,-122.3,5630529.2916253900,-9575915.87838249
114,,,39,-77.1,4677320.035485610,-6607112.988554220
115,,,42.4,-71.1,5055855.158535960,-5901230.824225090
118,,,35.6,-78,4291901.349772840,-6875723.144683340
119,,,36.4,-80.3,4383171.504392180,-7033805.509669950
121,,,47.6,-122.3,5619873.989038880,-9587467.144594210
123,,,37.7,-97.5,4530729.844432590,-8449565.979013730
124,,,32.9,-96.8,3981375.261976040,-8705352.53595065
125,,,34.1,-84.1,4119849.5791734400,-7498187.568149220
127,,,38.9,-77.1,4666079.097486390,-6612943.382287320
128,,,39.8,-105.1,4767031.784989590,-8942209.905876140
129,,,40.6,-75.4,4856353.621740940,-6368053.138085610
131,,,35.7,-78.6,4303329.101929990,-6923204.887550890
132,,,37.5,-121.9,4508090.636651800,-10581876.840291100
133,,,45.9,-91.8,5437595.370609270,-7340728.171350320
134,,,41.7,-87.7,4978517.873315130,-7329456.240816310
135,,,43.5,-116.3,5176733.604059030,-9545201.513229180
136,,,38.2,-84.6,4587227.316813160,-7300515.233172390
137,,,39.6,-105.1,4744640.050997060,-8958435.33948613
138,,,37.7,-85.8,4530729.844432590,-7435618.06153208
139,,,45.6,-111,5405209.441916060,-8906082.160373820
140,,,33,-96.8,3992942.2826557200,-8699221.733407330
141,,,48.8,-122.5,5747233.80943055,-9462470.163112630
142,,,38.9,-92.3,4666079.097486390,-7916662.440792730
143,,,39.7,-121.8,4755838.955352890,-10372508.451858700
144,,,36,-79.2,4337579.950562800,-6959607.467476040
145,,,41.7,-93.6,4978517.873315130,-7822543.946868940
146,,,37.3,-120.5,4485428.651890570,-10477795.173591900
147,,,34,-78.4,4108337.84708608,-6995126.544091240
148,,,35.8,-78.7,4314751.463942470,-6926581.637076700
150,,,39.4,-85.2,4722224.088198900,-7275295.801099290
151,,,44,-123.1,5231409.460379820,-10050478.971993700
152,,,47,-123.9,5555784.3927511,-9782524.263673270
153,,,39.5,-80.4,4733435.0894455200,-6859256.001769120
154,,,43.5,-116.4,5176733.604059030,-9553408.909199290
155,,,35.9,-78.9,4326168.419072050,-6938722.796317690
158,,,35.6,-78.8,4291901.349772840,-6946243.382064710
160,,,41.9,-87.7,5000646.662737800,-7315138.032947920
161,,,45.5,-122.8,5394399.796378010,-9863877.768527480
162,,,35.8,-79.1,4314751.463942470,-6961786.626337570
163,,,37.9,-122.3,4553346.138548650,-10580876.629869600
164,,,35.3,-80.9,4257585.919552410,-7147959.997428070
