Sample,Latitude,Longitude,Rurality,Population Density,Koppen
18,43.1,-93.2,11,0,25
31,43.1,-89.4,10,0,25
32,41.6,-91.5,11,1.842838168,25
34,42.3,-71.1,30,655.6755371,25
37,42.3,-72.5,11,0,25
39,39.1,-84.4,12,122.4647751,25
40,39.3,-77.9,11,7.240717411,25
41,42.8,-73.7,12,58.05885315,25
43,38.4,-88.4,11,15.83457851,25
46,40.4,-74.1,30,649.6417236,25
47,41.5,-81.8,30,0,25
51,42.2,-71.1,11,0,25
53,40.7,-74.1,30,6947.871582,25
54,40.7,-74,30,14608.01758,25
55,41,-73.9,30,62.21512985,25
57,40.7,-74,30,14608.01758,25
58,42.4,-72.5,12,81.99339294,25
61,40.8,-74,30,10984.79004,25
62,40.7,-73.9,30,20680.05078,25
63,39.3,-78.8,12,65.89559174,25
65,40.7,-74,30,14608.01758,25
67,40.7,-73.9,30,20680.05078,25
68,40.7,-74,30,14608.01758,25
73,41.9,-71.4,30,1064.911743,25
93,42.1,-88,30,2629.219482,25
94,40,-75.2,30,3001.827637,25
95,40.7,-89.4,23,936.527771,25
102,42.3,-71.1,30,655.6755371,25
105,41.7,-83.6,30,1463.245728,25
107,42.3,-83.1,30,311.7150574,25
109,40.8,-74,30,10984.79004,25
111,39.1,-94.4,30,1070.363281,25
112,42.3,-71.2,30,1180.863159,25
115,42.4,-71.1,30,7558.570313,25
123,37.7,-97.5,12,177.9262695,25
129,40.6,-75.4,30,1272.449707,25
134,41.7,-87.7,30,2851.695068,25
136,38.2,-84.6,12,59.75824356,25
142,38.9,-92.3,21,861.6224365,25
145,41.7,-93.6,23,932.2095947,25
150,39.4,-85.2,11,10.72967625,25
153,39.5,-80.4,11,0,25
160,41.9,-87.7,30,4853.135254,25
180,42.3,-71.1,30,655.6755371,25
185,42.5,-71.2,30,518.4879761,25
192,40.5,-74.6,11,15.02456284,25
197,43.1,-89.4,10,0,25
202,41.8,-88.2,30,1107.696899,25
211,40.3,-76.7,21,422.2843628,25
212,41.9,-87.7,30,4853.135254,25
213,42.4,-97.4,11,0.195444852,25
215,40.3,-80.2,21,596.9768066,25
216,39.8,-84.9,12,110.7132416,25
218,42,-91.6,12,136.2978668,25
225,42.7,-83.6,11,11.10918427,25
228,40.3,-78.9,21,1295.489624,25
233,40.5,-80,12,199.685379,25
234,42.4,-71.4,12,237.8688965,25
250,42.3,-71.7,21,608.2077026,25
251,40.6,-74.9,12,246.145752,25
254,40.6,-79.9,21,388.3919373,25
255,42.6,-71.2,21,753.1499023,25
257,44.9,-93.3,30,2352.990234,25
258,39.6,-75.8,12,69.05566406,25
263,40.4,-76.8,11,0.351767689,25
267,42.6,-71.3,21,460.3125,25
268,43.3,-90.4,11,0,25
269,41.8,-72.5,23,758.0135498,25
270,44.9,-92.9,30,1497.777832,25
273,42.4,-71.1,30,7558.570313,25
278,42.4,-71.4,12,237.8688965,25
280,41.7,-72.7,30,1136.08374,25
283,42.5,-71.5,12,206.3641968,25
285,41.9,-87.7,30,4853.135254,25
286,40,-75.2,30,3001.827637,25
288,40.9,-73.3,21,520.289917,25
290,45.5,-93.6,11,12.17769718,25
293,42.5,-87.9,11,26.27093887,25
298,39.7,-86.2,30,32.14847565,25
301,42.3,-71.2,30,1180.863159,25
305,40.1,-88.3,30,946.2949219,25
306,38.8,-97.6,23,1314.613403,25
310,39.7,-75.7,30,1063.932739,25
313,42.4,-72.5,12,81.99339294,25
318,38,-81.2,12,79.36468506,25
321,43.2,-77.6,30,1107.413696,25
326,42.4,-71.3,13,491.0845642,25
328,40.7,-74,30,14608.01758,25
331,43.5,-89.7,11,28.81778145,25
332,42.4,-71.1,30,7558.570313,25
333,44.9,-93.2,30,1394.591675,25
334,40.7,-74,30,14608.01758,25
335,38.7,-78.8,12,92.90052795,25
336,42,-93.6,12,281.0273438,25
337,42.5,-89,11,22.42241478,25
341,41.7,-72.2,21,718.3595581,25
346,42.3,-83.7,23,1616.854858,25
351,40.8,-74,30,10984.79004,25
352,41.8,-71.4,30,578.1711426,25
357,39,-92.3,12,92.49822235,25
